item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000002,ORD00035,PROD0013,10,57.62,37.0
ITEM000003,ORD00389,PROD0005,2,55.25,28.0
ITEM000004,ORD00263,PROD0025,7,42.21,23.0
ITEM000005,ORD00196,PROD0043,6,356.43,38.0
ITEM000007,ORD00228,PROD0008,7,382.68,27.0
ITEM000008,ORD00357,PROD0002,2,289.22,44.0
ITEM000009,ORD00185,PROD0023,4,209.69,19.0
ITEM000010,ORD00077,PROD0011,1,105.79,45.0
ITEM000011,ORD00145,PROD0032,5,139.94,17.0
ITEM000012,ORD00027,PROD0018,4,11.24,27.0
ITEM000013,ORD00097,PROD0043,10,361.33,17.0
ITEM000014,ORD00064,PROD0042,5,316.26,44.0
ITEM000015,ORD00002,PROD0002,8,458.1,0.0
ITEM000016,ORD00417,PROD0031,2,184.41,45.0
ITEM000017,ORD00154,PROD0043,8,437.68,8.0
ITEM000018,ORD00132,PROD0035,4,185.08,34.0
ITEM000019,ORD00466,PROD0012,1,187.67,8.0
ITEM000020,ORD00315,PROD0005,4,219.17,46.0
ITEM000021,ORD00253,PROD0039,10,41.6,4.0
ITEM000022,ORD00299,PROD0048,8,20.38,42.0
ITEM000023,ORD00290,PROD0024,7,389.11,34.0
ITEM000024,ORD00094,PROD0032,1,60.14,35.0
ITEM000025,ORD00446,PROD0045,3,184.44,50.0
ITEM000026,ORD00262,PROD0028,2,246.68,14.0
ITEM000027,ORD00087,PROD0036,10,122.66,47.0
ITEM000028,ORD00345,PROD0005,5,467.25,3.0
ITEM000029,ORD00188,PROD0015,7,32.17,38.0
ITEM000030,ORD00091,PROD0027,4,154.99,33.0
ITEM000031,ORD00458,PROD0037,9,112.01,8.0
ITEM000032,ORD00018,PROD0006,9,314.51,20.0
ITEM000033,ORD00183,PROD0003,9,410.17,36.0
ITEM000034,ORD00238,PROD0006,5,167.07,21.0
ITEM000035,ORD00253,PROD0003,3,475.82,33.0
ITEM000036,ORD00441,PROD0032,10,165.81,20.0
ITEM000037,ORD00437,PROD0038,3,385.53,34.0
ITEM000038,ORD00432,PROD0003,9,284.16,27.0
ITEM000040,ORD00194,PROD0037,2,364.95,24.0
ITEM000041,ORD00128,PROD0040,5,308.72,19.0
ITEM000042,ORD00296,PROD0049,10,73.33,32.0
ITEM000043,ORD00269,PROD0043,2,462.02,43.0
ITEM000044,ORD00143,PROD0037,1,306.0,45.0
ITEM000045,ORD00411,PROD0023,3,224.49,9.0
ITEM000047,ORD00454,PROD0023,8,202.94,7.0
ITEM000048,ORD00027,PROD0005,10,460.23,21.0
ITEM000049,ORD00196,PROD0036,4,418.52,39.0
ITEM000050,ORD00423,PROD0018,5,494.31,42.0
ITEM000051,ORD00161,PROD0026,9,281.34,15.0
ITEM000053,ORD00460,PROD0049,9,175.0,50.0
ITEM000054,ORD00028,PROD0021,9,365.16,30.0
ITEM000055,ORD00348,PROD0050,3,213.63,25.0
ITEM000056,ORD00448,PROD0010,6,237.9,0.0
ITEM000057,ORD00116,PROD0020,8,125.86,15.0
ITEM000059,ORD00475,PROD0027,5,212.22,21.0
ITEM000060,ORD00092,PROD0015,7,17.02,41.0
ITEM000061,ORD00097,PROD0034,3,205.37,30.0
ITEM000062,ORD00292,PROD0047,7,168.83,41.0
ITEM000063,ORD00184,PROD0024,4,340.17,19.0
ITEM000064,ORD00417,PROD0017,-2,349.57,7.0
ITEM000065,ORD00260,PROD0004,1,175.37,17.0
ITEM000066,ORD00250,PROD0045,1,346.58,39.0
ITEM000067,ORD00476,PROD0015,7,190.47,6.0
ITEM000068,ORD00044,PROD0001,6,148.9,1.0
ITEM000069,ORD00332,PROD0015,8,196.64,25.0
ITEM000070,ORD00148,PROD0022,9,140.44,12.0
ITEM000071,ORD00467,PROD0042,8,450.94,16.0
ITEM000072,ORD00199,PROD0020,10,309.4,4.0
ITEM000073,ORD00339,PROD0042,7,244.76,32.0
ITEM000074,ORD00387,PROD0014,5,12.84,24.0
ITEM000075,ORD00221,PROD0030,1,189.42,44.0
ITEM000076,ORD00172,PROD0029,10,264.27,42.0
ITEM000077,ORD00259,PROD0029,9,91.98,50.0
ITEM000078,ORD00482,PROD0040,3,14.63,47.0
ITEM000079,ORD00320,PROD0041,8,477.11,47.0
ITEM000080,ORD00496,PROD0005,9,446.91,8.0
ITEM000081,ORD00358,PROD0045,5,425.71,10.0
ITEM000082,ORD00273,PROD0012,1,275.98,47.0
ITEM000083,ORD00218,PROD0014,2,98.42,6.0
ITEM000084,ORD00174,PROD0020,5,294.93,38.0
ITEM000086,ORD00476,PROD0045,10,425.66,25.0
ITEM000087,ORD00355,PROD0007,4,319.35,36.0
ITEM000088,ORD00125,PROD0038,-1,14.32,3.0
ITEM000089,ORD00374,PROD0016,10,49.14,0.0
ITEM000090,ORD00124,PROD0038,10,449.56,2.0
ITEM000091,ORD00447,PROD0025,2,256.17,33.0
ITEM000092,ORD00474,PROD0018,9,12.18,38.0
ITEM000093,ORD00107,PROD0005,3,212.63,50.0
ITEM000094,ORD00003,PROD0019,5,204.89,9.0
ITEM000095,ORD00160,PROD0022,7,256.68,45.0
ITEM000096,ORD00297,PROD0025,7,284.13,34.0
ITEM000097,ORD00001,PROD0033,3,187.79,10.0
ITEM000098,ORD00293,PROD0009,5,66.48,2.0
ITEM000099,ORD00459,PROD0007,-1,82.73,28.0
ITEM000100,ORD00478,PROD0027,1,461.52,20.0
ITEM000101,ORD00043,PROD0029,1,486.17,32.0
ITEM000102,ORD00398,PROD0015,9,441.3,4.0
ITEM000103,ORD00134,PROD0023,6,366.04,48.0
ITEM000105,ORD00160,PROD0023,6,219.65,40.0
ITEM000106,ORD00251,PROD0036,2,170.84,21.0
ITEM000107,ORD00335,PROD0016,9,229.42,44.0
ITEM000108,ORD00034,PROD0030,1,426.18,16.0
ITEM000109,ORD00112,PROD0037,2,239.09,21.0
ITEM000110,ORD00499,PROD0036,8,434.21,23.0
ITEM000111,ORD00097,PROD0028,5,235.84,46.0
ITEM000112,ORD00395,PROD0037,3,297.13,6.0
ITEM000113,ORD00082,PROD0012,4,368.97,39.0
ITEM000114,ORD00172,PROD0026,8,131.24,31.0
ITEM000115,ORD00046,PROD0008,9,30.63,17.0
ITEM000116,ORD00067,PROD0047,2,130.46,37.0
ITEM000117,ORD00108,PROD0049,2,287.48,7.0
ITEM000119,ORD00239,PROD0025,9,235.77,17.0
ITEM000120,ORD00206,PROD0026,8,217.64,30.0
ITEM000121,ORD00370,PROD0046,9,28.07,4.0
ITEM000122,ORD00395,PROD0026,1,20.8,28.0
ITEM000123,ORD00141,PROD0008,8,464.18,46.0
ITEM000124,ORD00462,PROD0039,3,332.9,10.0
ITEM000125,ORD00373,PROD0046,2,441.22,6.0
ITEM000126,ORD00056,PROD0001,3,96.62,33.0
ITEM000127,ORD00095,PROD0046,10,205.32,30.0
ITEM000130,ORD00074,PROD0010,7,184.55,12.0
ITEM000131,ORD00378,PROD0012,3,126.51,1.0
ITEM000132,ORD00261,PROD0047,4,278.19,22.0
ITEM000133,ORD00016,PROD0014,7,232.16,38.0
ITEM000134,ORD00200,PROD0026,10,128.09,18.0
ITEM000135,ORD00399,PROD0001,10,70.98,5.0
ITEM000136,ORD00448,PROD0029,4,262.25,5.0
ITEM000137,ORD00265,PROD0043,5,230.22,20.0
ITEM000138,ORD00237,PROD0032,6,52.48,19.0
ITEM000139,ORD00094,PROD0020,3,470.83,40.0
ITEM000140,ORD00464,PROD0022,4,340.04,38.0
ITEM000141,ORD00403,PROD0036,9,362.62,40.0
ITEM000142,ORD00224,PROD0031,6,288.7,34.0
ITEM000143,ORD00090,PROD0045,4,187.85,39.0
ITEM000144,ORD00164,PROD0001,8,258.52,20.0
ITEM000145,ORD00070,PROD0010,2,487.18,30.0
ITEM000146,ORD00041,PROD0034,7,182.07,43.0
ITEM000147,ORD00498,PROD0022,1,379.08,40.0
ITEM000148,ORD00225,PROD0018,7,261.6,35.0
ITEM000149,ORD00033,PROD0005,7,5.25,20.0
ITEM000150,ORD00134,PROD0010,9,380.14,32.0
ITEM000151,ORD00050,PROD0009,9,363.11,5.0
ITEM000152,ORD00358,PROD0040,5,364.81,19.0
ITEM000153,ORD00392,PROD0024,1,7.9,50.0
ITEM000154,ORD00278,PROD0043,2,313.93,37.0
ITEM000155,ORD00122,PROD0050,3,456.44,18.0
ITEM000156,ORD00252,PROD0043,6,157.22,29.0
ITEM000157,ORD00365,PROD0043,5,242.15,44.0
ITEM000158,ORD00032,PROD0023,9,243.33,10.0
ITEM000159,ORD00001,PROD0018,4,17.46,34.0
ITEM000160,ORD00427,PROD0048,5,33.64,46.0
ITEM000161,ORD00492,PROD0007,1,128.15,43.0
ITEM000162,ORD00373,PROD0003,2,201.29,21.0
ITEM000163,ORD00459,PROD0035,9,112.49,7.0
ITEM000164,ORD00416,PROD0036,4,419.89,6.0
ITEM000165,ORD00386,PROD0050,10,62.32,42.0
ITEM000166,ORD00100,PROD0021,1,68.8,47.0
ITEM000167,ORD00340,PROD0014,8,50.99,39.0
ITEM000168,ORD00470,PROD0048,1,181.38,37.0
ITEM000170,ORD00159,PROD0045,10,356.32,5.0
ITEM000171,ORD00493,PROD0006,6,27.62,39.0
ITEM000172,ORD00147,PROD0031,3,11.28,36.0
ITEM000173,ORD00294,PROD0022,5,279.72,38.0
ITEM000175,ORD00238,PROD0016,-4,176.2,26.0
ITEM000176,ORD00157,PROD0038,10,450.51,40.0
ITEM000177,ORD00073,PROD0003,6,66.34,42.0
ITEM000178,ORD00464,PROD0010,6,364.98,20.0
ITEM000179,ORD00127,PROD0028,7,244.88,22.0
ITEM000180,ORD00472,PROD0004,10,422.73,6.0
ITEM000181,ORD00484,PROD0005,7,139.99,5.0
ITEM000182,ORD00265,PROD0013,2,416.52,37.0
ITEM000183,ORD00161,PROD0014,7,374.82,23.0
ITEM000184,ORD00493,PROD0022,9,332.87,11.0
ITEM000185,ORD00150,PROD0028,5,88.42,15.0
ITEM000186,ORD00451,PROD0002,3,354.87,30.0
ITEM000187,ORD00282,PROD0030,2,351.11,46.0
ITEM000188,ORD00424,PROD0050,7,277.04,15.0
ITEM000189,ORD00294,PROD0004,3,33.29,27.0
ITEM000190,ORD00399,PROD0016,1,52.31,27.0
ITEM000191,ORD00020,PROD0009,1,143.16,38.0
ITEM000192,ORD00098,PROD0024,1,233.57,47.0
ITEM000193,ORD00048,PROD0027,5,471.09,16.0
ITEM000194,ORD00074,PROD0047,2,114.36,35.0
ITEM000195,ORD00309,PROD0036,5,65.77,47.0
ITEM000196,ORD00071,PROD0039,2,328.8,20.0
ITEM000197,ORD00222,PROD0016,2,271.82,9.0
ITEM000198,ORD00197,PROD0025,2,180.62,34.0
ITEM000199,ORD00036,PROD0016,10,466.97,36.0
ITEM000200,ORD00183,PROD0038,2,387.65,42.0
ITEM000201,ORD00215,PROD0037,7,217.65,43.0
ITEM000202,ORD00255,PROD0011,5,255.39,39.0
ITEM000203,ORD00330,PROD0019,4,382.93,5.0
ITEM000204,ORD00034,PROD0020,7,389.93,12.0
ITEM000205,ORD00326,PROD0017,2,435.93,49.0
ITEM000206,ORD00455,PROD0002,6,427.09,38.0
ITEM000207,ORD00091,PROD0019,3,151.32,46.0
ITEM000208,ORD00068,PROD0029,4,182.66,29.0
ITEM000209,ORD00224,PROD0049,4,328.94,34.0
ITEM000210,ORD00403,PROD0031,9,196.13,16.0
ITEM000211,ORD00486,PROD0033,5,112.41,38.0
ITEM000213,ORD00145,PROD0042,8,230.77,27.0
ITEM000215,ORD00314,PROD0028,5,251.44,49.0
ITEM000216,ORD00195,PROD0001,4,9.44,24.0
ITEM000218,ORD00062,PROD0020,10,428.59,50.0
ITEM000219,ORD00005,PROD0034,10,255.36,14.0
ITEM000220,ORD00383,PROD0005,3,442.5,29.0
ITEM000221,ORD00233,PROD0005,1,152.61,49.0
ITEM000222,ORD00320,PROD0019,3,215.27,47.0
ITEM000223,ORD00307,PROD0040,6,160.85,23.0
ITEM000224,ORD00308,PROD0022,10,386.45,17.0
ITEM000225,ORD00348,PROD0003,-3,473.75,39.0
ITEM000226,ORD00223,PROD0004,6,386.06,35.0
ITEM000227,ORD00377,PROD0047,3,486.5,34.0
ITEM000228,ORD00048,PROD0012,9,423.27,3.0
ITEM000229,ORD00005,PROD0038,10,126.47,30.0
ITEM000230,ORD00461,PROD0037,5,56.42,21.0
ITEM000231,ORD00213,PROD0033,10,144.7,15.0
ITEM000232,ORD00123,PROD0050,8,219.91,11.0
ITEM000233,ORD00154,PROD0007,3,127.8,8.0
ITEM000234,ORD00125,PROD0024,1,107.88,44.0
ITEM000235,ORD00110,PROD0001,3,85.74,23.0
ITEM000236,ORD00041,PROD0018,5,138.69,14.0
ITEM000237,ORD00245,PROD0019,8,389.07,39.0
ITEM000238,ORD00108,PROD0004,3,254.86,39.0
ITEM000239,ORD00082,PROD0015,3,162.37,35.0
ITEM000240,ORD00423,PROD0014,4,467.36,3.0
ITEM000241,ORD00249,PROD0035,2,67.24,20.0
ITEM000243,ORD00244,PROD0039,8,409.4,11.0
ITEM000244,ORD00387,PROD0006,10,447.9,30.0
ITEM000245,ORD00112,PROD0004,1,57.52,22.0
ITEM000246,ORD00205,PROD0008,8,140.75,31.0
ITEM000247,ORD00432,PROD0019,7,77.57,7.0
ITEM000248,ORD00389,PROD0015,10,31.98,40.0
ITEM000250,ORD00348,PROD0020,6,390.99,21.0
ITEM000251,ORD00320,PROD0023,8,51.68,22.0
ITEM000252,ORD00038,PROD0032,4,189.65,46.0
ITEM000253,ORD00139,PROD0042,9,200.53,16.0
ITEM000254,ORD00093,PROD0036,2,405.76,2.0
ITEM000255,ORD00194,PROD0042,1,306.46,18.0
ITEM000256,ORD00090,PROD0046,6,267.34,42.0
ITEM000257,ORD00253,PROD0029,8,171.5,29.0
ITEM000258,ORD00071,PROD0016,2,416.64,16.0
ITEM000259,ORD00470,PROD0029,7,234.19,30.0
ITEM000260,ORD00083,PROD0019,9,34.67,26.0
ITEM000261,ORD00027,PROD0001,7,116.1,18.0
ITEM000262,ORD00334,PROD0027,2,269.9,34.0
ITEM000263,ORD00453,PROD0029,2,231.65,4.0
ITEM000264,ORD00436,PROD0026,1,193.84,6.0
ITEM000265,ORD00032,PROD0009,5,80.65,20.0
ITEM000266,ORD00090,PROD0047,5,174.53,14.0
ITEM000267,ORD00344,PROD0046,3,182.03,27.0
ITEM000268,ORD00427,PROD0014,-4,333.5,43.0
ITEM000269,ORD00486,PROD0048,9,395.19,16.0
ITEM000270,ORD00500,PROD0043,9,233.43,28.0
ITEM000271,ORD00441,PROD0002,8,149.19,37.0
ITEM000272,ORD00120,PROD0036,5,249.92,38.0
ITEM000273,ORD00444,PROD0023,7,458.3,18.0
ITEM000274,ORD00254,PROD0038,7,443.79,47.0
ITEM000275,ORD00312,PROD0049,3,122.53,14.0
ITEM000276,ORD00053,PROD0043,10,111.21,17.0
ITEM000277,ORD00072,PROD0004,1,308.15,3.0
ITEM000278,ORD00124,PROD0013,6,253.06,23.0
ITEM000279,ORD00393,PROD0046,6,123.79,9.0
ITEM000280,ORD00118,PROD0023,3,401.09,10.0
ITEM000281,ORD00406,PROD0050,10,293.07,17.0
ITEM000282,ORD00487,PROD0008,9,296.61,33.0
ITEM000284,ORD00464,PROD0040,2,261.73,31.0
ITEM000285,ORD00014,PROD0030,1,315.79,42.0
ITEM000286,ORD00060,PROD0043,3,430.14,38.0
ITEM000289,ORD00129,PROD0050,3,36.55,49.0
ITEM000290,ORD00058,PROD0030,9,424.2,43.0
ITEM000291,ORD00428,PROD0021,4,434.58,17.0
ITEM000292,ORD00286,PROD0031,2,295.44,33.0
ITEM000293,ORD00245,PROD0038,8,291.18,7.0
ITEM000294,ORD00298,PROD0023,4,401.67,43.0
ITEM000296,ORD00042,PROD0047,9,207.34,48.0
