order_id,customer_id,order_date,status,region_code
ORD00001,CUST0049,2025-10-23 17:30:16,RETURNED,US
ORD00002,CUST0024,2026-03-09 17:30:16,DELIVERED,EU
ORD00003,CUST0001,2026-03-21 17:30:16,RETURNED,US
ORD00004,CUST0009,2026-02-04 17:30:16,SHIPPED,LATAM
ORD00005,CUST0049,2025-09-24 17:30:16,DELIVERED,ASIA
ORD00006,CUST0050,2026-06-18 17:30:16,SHIPPED,LATAM
ORD00007,CUST0070,2026-05-24 17:30:16,DELIVERED,LATAM
ORD00008,CUST0080,2025-09-12 17:30:16,PLACED,EU
ORD00009,CUST0066,2026-01-22 17:30:16,DELIVERED,US
ORD00010,CUST0015,2025-10-14 17:30:16,RETURNED,ASIA
ORD00011,CUST0025,2025-08-30 17:30:16,RETURNED,EU
ORD00012,CUST0030,2026-02-27 17:30:16,SHIPPED,LATAM
ORD00013,CUST0054,2025-09-19 17:30:16,PLACED,LATAM
ORD00014,CUST0037,2026-05-22 17:30:16,DELIVERED,LATAM
ORD00015,CUST0063,2025-10-15 17:30:16,RETURNED,ASIA
ORD00016,CUST0057,2025-09-13 17:30:16,PLACED,LATAM
ORD00017,CUST0052,2025-12-11 17:30:16,DELIVERED,US
ORD00018,CUST0012,2026-06-12 17:30:16,DELIVERED,LATAM
ORD00019,CUST0067,2025-08-05 17:30:16,RETURNED,EU
ORD00020,CUST0062,2026-04-29 17:30:16,CANCELLED,LATAM
ORD00021,CUST0022,2025-10-02 17:30:16,RETURNED,LATAM
ORD00022,CUST0099,2025-12-21 17:30:16,RETURNED,LATAM
ORD00023,CUST0058,2025-09-15 17:30:16,DELIVERED,ASIA
ORD00024,CUST0093,2026-01-23 17:30:16,PLACED,ASIA
ORD00025,CUST0040,2026-03-27 17:30:16,PLACED,EU
ORD00026,CUST0076,2025-11-18 17:30:16,DELIVERED,ASIA
ORD00027,CUST0032,2026-02-05 17:30:16,DELIVERED,EU
ORD00028,CUST0052,2025-09-22 17:30:16,RETURNED,US
ORD00029,CUST0085,2025-10-04 17:30:16,RETURNED,US
ORD00032,CUST0036,2025-08-03 17:30:16,DELIVERED,LATAM
ORD00033,CUST0034,2025-11-11 17:30:16,RETURNED,ASIA
ORD00034,CUST0073,2026-05-05 17:30:16,DELIVERED,LATAM
ORD00035,CUST0051,2025-09-03 17:30:16,DELIVERED,EU
ORD00036,CUST0088,2026-05-31 17:30:16,CANCELLED,LATAM
ORD00037,CUST0023,2025-10-03 17:30:16,CANCELLED,LATAM
ORD00038,CUST0052,2026-01-07 17:30:16,CANCELLED,LATAM
ORD00039,CUST0063,2026-04-12 17:30:16,PLACED,EU
ORD00041,CUST0091,2026-02-13 17:30:16,PLACED,LATAM
ORD00042,CUST0099,2025-07-23 17:30:16,RETURNED,US
ORD00043,CUST0096,2026-01-17 17:30:16,PLACED,EU
ORD00044,CUST0097,2025-09-29 17:30:16,CANCELLED,EU
ORD00045,CUST0003,2026-07-11 17:30:16,SHIPPED,ASIA
ORD00046,CUST0025,2026-06-24 17:30:16,SHIPPED,LATAM
ORD00047,CUST0017,2026-02-28 17:30:16,PLACED,LATAM
ORD00048,CUST0054,2026-06-30 17:30:16,CANCELLED,LATAM
ORD00049,CUST0078,2026-05-02 17:30:16,SHIPPED,LATAM
ORD00050,CUST0097,2026-02-21 17:30:16,DELIVERED,ASIA
ORD00052,CUST0019,2025-10-17 17:30:16,SHIPPED,ASIA
ORD00053,CUST0054,2026-05-31 17:30:16,PLACED,LATAM
ORD00054,CUST0039,2025-08-23 17:30:16,DELIVERED,ASIA
ORD00055,CUST0031,2025-12-05 17:30:16,SHIPPED,ASIA
ORD00056,CUST0085,2026-01-17 17:30:16,PLACED,ASIA
ORD00057,CUST0024,2025-07-30 17:30:16,RETURNED,LATAM
ORD00058,CUST0073,2026-04-07 17:30:16,DELIVERED,US
ORD00059,CUST0016,2025-08-26 17:30:16,SHIPPED,US
ORD00060,CUST0092,2026-02-23 17:30:16,PLACED,ASIA
ORD00062,CUST0050,2026-02-27 17:30:16,PLACED,LATAM
ORD00064,CUST0029,2026-02-19 17:30:16,CANCELLED,EU
ORD00065,CUST0018,2026-02-23 17:30:16,CANCELLED,ASIA
ORD00066,CUST0063,2025-10-24 17:30:16,CANCELLED,LATAM
ORD00067,CUST0050,2026-03-23 17:30:16,RETURNED,LATAM
ORD00068,CUST0030,2025-12-24 17:30:16,CANCELLED,ASIA
ORD00069,CUST0018,2025-11-27 17:30:16,DELIVERED,ASIA
ORD00070,CUST0079,2026-07-03 17:30:16,CANCELLED,LATAM
ORD00071,CUST0018,2025-08-06 17:30:16,PLACED,LATAM
ORD00072,CUST0017,2025-07-25 17:30:16,DELIVERED,US
ORD00073,CUST0032,2026-04-17 17:30:16,CANCELLED,LATAM
ORD00074,CUST0051,2026-06-20 17:30:16,SHIPPED,LATAM
ORD00075,CUST0027,2025-10-28 17:30:16,PLACED,EU
ORD00076,CUST0083,2025-10-09 17:30:16,CANCELLED,US
ORD00077,CUST0019,2026-01-02 17:30:16,SHIPPED,US
ORD00078,CUST0096,2025-11-11 17:30:16,SHIPPED,EU
ORD00079,CUST0084,2025-08-09 17:30:16,DELIVERED,LATAM
ORD00080,CUST0004,2025-07-17 17:30:16,SHIPPED,US
ORD00081,CUST0076,2026-04-23 17:30:16,SHIPPED,LATAM
ORD00082,CUST0029,2025-08-27 17:30:16,SHIPPED,LATAM
ORD00083,CUST0069,2025-10-05 17:30:16,DELIVERED,US
ORD00086,CUST0052,2026-07-02 17:30:16,PLACED,ASIA
ORD00087,CUST0093,2025-10-21 17:30:16,RETURNED,EU
ORD00088,CUST0039,2026-03-04 17:30:16,RETURNED,US
ORD00089,CUST0057,2025-07-17 17:30:16,SHIPPED,LATAM
ORD00090,CUST0013,2026-02-16 17:30:16,RETURNED,EU
ORD00091,CUST0086,2026-03-10 17:30:16,SHIPPED,ASIA
ORD00092,CUST0076,2026-06-05 17:30:16,SHIPPED,ASIA
ORD00093,CUST0054,2025-10-28 17:30:16,CANCELLED,EU
ORD00094,CUST0088,2025-09-16 17:30:16,DELIVERED,US
ORD00095,CUST0095,2025-12-23 17:30:16,SHIPPED,ASIA
ORD00096,CUST0019,2025-11-24 17:30:16,CANCELLED,US
ORD00097,CUST0098,2025-11-16 17:30:16,RETURNED,LATAM
ORD00098,CUST0049,2026-06-12 17:30:16,DELIVERED,US
ORD00099,CUST0014,2026-06-18 17:30:16,RETURNED,EU
ORD00100,CUST0065,2026-01-17 17:30:16,SHIPPED,EU
ORD00101,CUST0063,2025-08-10 17:30:16,DELIVERED,US
ORD00102,CUST0019,2026-01-22 17:30:16,RETURNED,EU
ORD00103,CUST0044,2026-04-12 17:30:16,RETURNED,LATAM
ORD00107,CUST0075,2026-02-25 17:30:16,DELIVERED,US
ORD00108,CUST0076,2025-12-19 17:30:16,CANCELLED,US
ORD00109,CUST0078,2026-05-11 17:30:16,CANCELLED,US
ORD00110,CUST0079,2025-09-12 17:30:16,PLACED,EU
ORD00111,CUST0075,2025-08-31 17:30:16,DELIVERED,US
ORD00112,CUST0046,2026-06-04 17:30:16,SHIPPED,LATAM
ORD00113,CUST0055,2025-11-28 17:30:16,SHIPPED,EU
ORD00114,CUST0012,2026-02-20 17:30:16,DELIVERED,LATAM
ORD00115,CUST0008,2026-01-26 17:30:16,RETURNED,US
ORD00116,CUST0038,2026-02-08 17:30:16,CANCELLED,US
ORD00117,CUST0018,2026-01-09 17:30:16,RETURNED,US
ORD00118,CUST0009,2026-05-16 17:30:16,PLACED,US
ORD00119,CUST0014,2026-01-13 17:30:16,DELIVERED,US
ORD00120,CUST0032,2025-07-27 17:30:16,RETURNED,LATAM
ORD00121,CUST0015,2026-03-09 17:30:16,SHIPPED,ASIA
ORD00122,CUST0010,2025-12-13 17:30:16,RETURNED,EU
ORD00123,CUST0015,2026-01-03 17:30:16,PLACED,ASIA
ORD00124,CUST0025,2025-11-07 17:30:16,CANCELLED,EU
ORD00125,CUST0070,2026-04-19 17:30:16,DELIVERED,EU
ORD00126,CUST0041,2026-01-18 17:30:16,RETURNED,LATAM
ORD00127,CUST0087,2026-02-21 17:30:16,CANCELLED,US
ORD00128,CUST0041,2025-10-01 17:30:16,PLACED,EU
ORD00129,CUST0045,2025-07-15 17:30:16,DELIVERED,US
ORD00130,CUST0075,2026-07-07 17:30:16,CANCELLED,US
ORD00131,CUST0083,2025-10-13 17:30:16,DELIVERED,EU
ORD00132,CUST0041,2026-04-09 17:30:16,CANCELLED,EU
ORD00133,CUST0004,2026-05-22 17:30:16,DELIVERED,ASIA
ORD00134,CUST0081,2025-11-28 17:30:16,DELIVERED,LATAM
ORD00135,CUST0093,2025-10-04 17:30:16,CANCELLED,EU
