item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00256,PROD0011,5,200.22,33
ITEM000002,ORD00035,PROD0013,10,57.62,37
ITEM000003,ORD00389,PROD0005,2,55.25,28
ITEM000004,ORD00263,PROD0025,7,42.21,23
ITEM000005,ORD00196,PROD0043,6,356.43,38
ITEM000006,ORD00085,PROD0049,1,110.67,9
ITEM000007,ORD00228,PROD0008,7,382.68,27
ITEM000008,ORD00357,PROD0002,2,289.22,44
ITEM000009,ORD00185,PROD0023,4,209.69,19
ITEM000010,ORD00077,PROD0011,1,105.79,45
ITEM000011,ORD00145,PROD0032,5,139.94,17
ITEM000012,ORD00027,PROD0018,4,11.24,27
ITEM000013,ORD00097,PROD0043,10,361.33,17
ITEM000014,ORD00064,PROD0042,5,316.26,44
ITEM000015,ORD00002,PROD0002,8,458.1,0
ITEM000016,ORD00417,PROD0031,2,184.41,45
ITEM000017,ORD00154,PROD0043,8,437.68,8
ITEM000018,ORD00132,PROD0035,4,185.08,34
ITEM000019,ORD00466,PROD0012,1,187.67,8
ITEM000020,ORD00315,PROD0005,4,219.17,46
ITEM000021,ORD00253,PROD0039,10,41.6,4
ITEM000022,ORD00299,PROD0048,8,20.38,42
ITEM000023,ORD00290,PROD0024,7,389.11,34
ITEM000024,ORD00094,PROD0032,1,60.14,35
ITEM000025,ORD00446,PROD0045,3,184.44,50
ITEM000026,ORD00262,PROD0028,2,246.68,14
ITEM000027,ORD00087,PROD0036,10,122.66,47
ITEM000028,ORD00345,PROD0005,5,467.25,3
ITEM000029,ORD00188,PROD0015,7,32.17,38
ITEM000030,ORD00091,PROD0027,4,154.99,33
ITEM000031,ORD00458,PROD0037,9,112.01,8
ITEM000032,ORD00018,PROD0006,9,314.51,20
ITEM000033,ORD00183,PROD0003,9,410.17,36
ITEM000034,ORD00238,PROD0006,5,167.07,21
ITEM000035,ORD00253,PROD0003,3,475.82,33
ITEM000036,ORD00441,PROD0032,10,165.81,20
ITEM000037,ORD00437,PROD0038,3,385.53,34
ITEM000038,ORD00432,PROD0003,9,284.16,27
ITEM000039,ORD00477,PROD0016,6,174.54,18
ITEM000040,ORD00194,PROD0037,2,364.95,24
ITEM000041,ORD00128,PROD0040,5,308.72,19
ITEM000042,ORD00296,PROD0049,10,73.33,32
ITEM000043,ORD00269,PROD0043,2,462.02,43
ITEM000044,ORD00143,PROD0037,1,306.0,45
ITEM000045,ORD00411,PROD0023,3,224.49,9
ITEM000046,ORD00351,PROD0035,10,105.03,21
ITEM000047,ORD00454,PROD0023,8,202.94,7
ITEM000048,ORD00027,PROD0005,10,460.23,21
ITEM000049,ORD00196,PROD0036,4,418.52,39
ITEM000050,ORD00423,PROD0018,5,494.31,42
ITEM000051,ORD00161,PROD0026,9,281.34,15
ITEM000052,ORD00477,PROD0026,7,470.6,15
ITEM000053,ORD00460,PROD0049,9,175.0,50
ITEM000054,ORD00028,PROD0021,9,365.16,30
ITEM000055,ORD00348,PROD0050,3,213.63,25
ITEM000056,ORD00448,PROD0010,6,237.9,0
ITEM000057,ORD00116,PROD0020,8,125.86,15
ITEM000058,ORD00040,PROD0041,9,441.26,49
ITEM000059,ORD00475,PROD0027,5,212.22,21
ITEM000060,ORD00092,PROD0015,7,17.02,41
ITEM000061,ORD00097,PROD0034,3,205.37,30
ITEM000062,ORD00292,PROD0047,7,168.83,41
ITEM000063,ORD00184,PROD0024,4,340.17,19
ITEM000064,ORD00417,PROD0017,-2,349.57,7
ITEM000065,ORD00260,PROD0004,1,175.37,17
ITEM000066,ORD00250,PROD0045,1,346.58,39
ITEM000067,ORD00476,PROD0015,7,190.47,6
ITEM000068,ORD00044,PROD0001,6,148.9,1
ITEM000069,ORD00332,PROD0015,8,196.64,25
ITEM000070,ORD00148,PROD0022,9,140.44,12
ITEM000071,ORD00467,PROD0042,8,450.94,16
ITEM000072,ORD00199,PROD0020,10,309.4,4
ITEM000073,ORD00339,PROD0042,7,244.76,32
ITEM000074,ORD00387,PROD0014,5,12.84,24
ITEM000075,ORD00221,PROD0030,1,189.42,44
ITEM000076,ORD00172,PROD0029,10,264.27,42
ITEM000077,ORD00259,PROD0029,9,91.98,50
ITEM000078,ORD00482,PROD0040,3,14.63,47
ITEM000079,ORD00320,PROD0041,8,477.11,47
ITEM000080,ORD00496,PROD0005,9,446.91,8
ITEM000081,ORD00358,PROD0045,5,425.71,10
ITEM000082,ORD00273,PROD0012,1,275.98,47
ITEM000083,ORD00218,PROD0014,2,98.42,6
ITEM000084,ORD00174,PROD0020,5,294.93,38
ITEM000085,ORD00175,PROD0045,3,181.6,19
ITEM000086,ORD00476,PROD0045,10,425.66,25
ITEM000087,ORD00355,PROD0007,4,319.35,36
ITEM000088,ORD00125,PROD0038,-1,14.32,3
ITEM000089,ORD00374,PROD0016,10,49.14,0
ITEM000090,ORD00124,PROD0038,10,449.56,2
ITEM000091,ORD00447,PROD0025,2,256.17,33
ITEM000092,ORD00474,PROD0018,9,12.18,38
ITEM000093,ORD00107,PROD0005,3,212.63,50
ITEM000094,ORD00003,PROD0019,5,204.89,9
ITEM000095,ORD00160,PROD0022,7,256.68,45
ITEM000096,ORD00297,PROD0025,7,284.13,34
ITEM000097,ORD00001,PROD0033,3,187.79,10
ITEM000098,ORD00293,PROD0009,5,66.48,2
ITEM000099,ORD00459,PROD0007,-1,82.73,28
ITEM000100,ORD00478,PROD0027,1,461.52,20
ITEM000101,ORD00043,PROD0029,1,486.17,32
ITEM000102,ORD00398,PROD0015,9,441.3,4
ITEM000103,ORD00134,PROD0023,6,366.04,48
ITEM000104,ORD00362,PROD0033,5,372.88,20
ITEM000105,ORD00160,PROD0023,6,219.65,40
ITEM000106,ORD00251,PROD0036,2,170.84,21
ITEM000107,ORD00335,PROD0016,9,229.42,44
ITEM000108,ORD00034,PROD0030,1,426.18,16
ITEM000109,ORD00112,PROD0037,2,239.09,21
ITEM000110,ORD00499,PROD0036,8,434.21,23
ITEM000111,ORD00097,PROD0028,5,235.84,46
ITEM000112,ORD00395,PROD0037,3,297.13,6
ITEM000113,ORD00082,PROD0012,4,368.97,39
ITEM000114,ORD00172,PROD0026,8,131.24,31
ITEM000115,ORD00046,PROD0008,9,30.63,17
ITEM000116,ORD00067,PROD0047,2,130.46,37
ITEM000117,ORD00108,PROD0049,2,287.48,7
ITEM000118,ORD00256,PROD0039,5,493.77,45
ITEM000119,ORD00239,PROD0025,9,235.77,17
ITEM000120,ORD00206,PROD0026,8,217.64,30
ITEM000121,ORD00370,PROD0046,9,28.07,4
ITEM000122,ORD00395,PROD0026,1,20.8,28
ITEM000123,ORD00141,PROD0008,8,464.18,46
ITEM000124,ORD00462,PROD0039,3,332.9,10
ITEM000125,ORD00373,PROD0046,2,441.22,6
ITEM000126,ORD00056,PROD0001,3,96.62,33
ITEM000127,ORD00095,PROD0046,10,205.32,30
ITEM000128,ORD00104,PROD0046,9,258.26,30
ITEM000129,ORD00304,PROD0048,-4,375.44,25
ITEM000130,ORD00074,PROD0010,7,184.55,12
ITEM000131,ORD00378,PROD0012,3,126.51,1
ITEM000132,ORD00261,PROD0047,4,278.19,22
ITEM000133,ORD00016,PROD0014,7,232.16,38
ITEM000134,ORD00200,PROD0026,10,128.09,18
ITEM000135,ORD00399,PROD0001,10,70.98,5
