QUERY 10 RESULTS
================================================================================

month | segment | customer_count | total_revenue
--------------------------------------------------------------------------------
2026-07 | Low | 10 | 23569.31
2026-07 | Medium | 2 | 13866.41
2026-06 | Low | 25 | 55673.61
2026-06 | Medium | 1 | 6249.28
2026-05 | Low | 23 | 46326.11
2026-05 | Medium | 3 | 17852.64
2026-04 | Low | 21 | 33473.45
2026-04 | Medium | 5 | 30524.7
2026-03 | Low | 28 | 56250.78
2026-03 | Medium | 2 | 11147.29
2026-02 | Low | 29 | 52658.73
2026-02 | Medium | 2 | 10604.21
2026-01 | Low | 25 | 40398.05
2026-01 | Medium | 1 | 7180.39
2026-01 | High | 1 | 11729.76
2025-12 | Low | 27 | 52940.51
2025-12 | Medium | 2 | 14248.09
2025-11 | Low | 18 | 30119.31
2025-11 | Medium | 2 | 13322.22
2025-10 | Low | 32 | 65148.21
2025-10 | Medium | 1 | 5227.88
2025-09 | Low | 22 | 42350.02
2025-09 | Medium | 2 | 13280.85
2025-08 | Low | 28 | 45851.0
2025-08 | Medium | 4 | 22333.81
2025-07 | Low | 13 | 24621.07
2025-07 | Medium | 1 | 8481.54

[Total rows: 27]
