QUERY 14 RESULTS
================================================================================

customer_id | revenue | cumulative_revenue | cumulative_percent
--------------------------------------------------------------------------------
CUST0018 | 22508.13 | 22508.13 | 2.98
CUST0041 | 21241.05 | 43749.18 | 5.79
CUST0009 | 19828.44 | 63577.62 | 8.42
CUST0033 | 18818.13 | 82395.75 | 10.91
CUST0024 | 18563.42 | 100959.17 | 13.36
CUST0093 | 17494.63 | 118453.8 | 15.68
CUST0036 | 15912.38 | 134366.18 | 17.79
CUST0079 | 15816.69 | 150182.87 | 19.88
CUST0054 | 13974.21 | 164157.08 | 21.73
CUST0065 | 13938.98 | 178096.06 | 23.58
CUST0050 | 13852.77 | 191948.83 | 25.41
CUST0080 | 13790.65 | 205739.48 | 27.23
CUST0067 | 13503.2 | 219242.68 | 29.02
CUST0083 | 13119.32 | 232362.0 | 30.76
CUST0075 | 13027.14 | 245389.14 | 32.48
CUST0002 | 12760.64 | 258149.78 | 34.17
CUST0025 | 12631.88 | 270781.66 | 35.84
CUST0084 | 12353.99 | 283135.65 | 37.48
CUST0078 | 10974.12 | 294109.77 | 38.93
CUST0035 | 10771.4 | 304881.17 | 40.36
CUST0057 | 10759.6 | 315640.77 | 41.78
CUST0064 | 10456.79 | 326097.56 | 43.17
CUST0032 | 10428.11 | 336525.67 | 44.55
CUST0061 | 10197.58 | 346723.25 | 45.9
CUST0055 | 9767.29 | 356490.54 | 47.19
CUST0023 | 9639.67 | 366130.21 | 48.47
CUST0001 | 9250.31 | 375380.52 | 49.69
CUST0038 | 9132.63 | 384513.15 | 50.9
CUST0030 | 9017.94 | 393531.09 | 52.09
CUST0062 | 9003.72 | 402534.81 | 53.29

[Total rows: 30]
