QUERY 9 RESULTS
================================================================================

customer_id | order_id | order_date | prev_order_date | days_gap
--------------------------------------------------------------------------------
CUST0001 | ORD00003 | 2026-03-21 | 2025-12-04 | 107
CUST0001 | ORD00496 | 2026-06-27 | 2026-03-21 | 98
CUST0002 | ORD00241 | 2025-10-05 | 2025-09-11 | 24
CUST0002 | ORD00167 | 2025-11-01 | 2025-10-05 | 27
CUST0002 | ORD00268 | 2025-12-04 | 2025-11-01 | 33
CUST0002 | ORD00149 | 2026-03-23 | 2025-12-04 | 109
CUST0002 | ORD00171 | 2026-05-09 | 2026-03-23 | 47
CUST0002 | ORD00247 | 2026-05-15 | 2026-05-09 | 6
CUST0002 | ORD00456 | 2026-06-09 | 2026-05-15 | 25
CUST0003 | ORD00286 | 2025-10-05 | 2025-08-05 | 61
CUST0003 | ORD00375 | 2026-05-11 | 2025-10-05 | 218
CUST0003 | ORD00045 | 2026-07-11 | 2026-05-11 | 61
CUST0004 | ORD00144 | 2026-02-21 | 2025-07-17 | 219
CUST0004 | ORD00402 | 2026-03-25 | 2026-02-21 | 32
CUST0004 | ORD00287 | 2026-04-24 | 2026-03-25 | 30
CUST0004 | ORD00298 | 2026-05-12 | 2026-04-24 | 18
CUST0004 | ORD00133 | 2026-05-22 | 2026-05-12 | 10
CUST0004 | ORD00412 | 2026-06-22 | 2026-05-22 | 31
CUST0005 | ORD00459 | 2025-10-29 | 2025-09-03 | 56
CUST0005 | ORD00237 | 2025-12-14 | 2025-10-29 | 46
CUST0005 | ORD00284 | 2026-02-11 | 2025-12-14 | 59
CUST0005 | ORD00257 | 2026-02-25 | 2026-02-11 | 14
CUST0005 | ORD00405 | 2026-03-04 | 2026-02-25 | 7
CUST0005 | ORD00228 | 2026-05-01 | 2026-03-04 | 58
CUST0005 | ORD00234 | 2026-05-02 | 2026-05-01 | 1
CUST0006 | ORD00209 | 2025-12-09 | 2025-07-30 | 132
CUST0006 | ORD00173 | 2026-01-14 | 2025-12-09 | 36
CUST0006 | ORD00423 | 2026-04-23 | 2026-01-14 | 99
CUST0007 | ORD00335 | 2026-02-02 | 2026-01-30 | 3
CUST0007 | ORD00355 | 2026-06-07 | 2026-02-02 | 125
CUST0008 | ORD00415 | 2026-01-02 | 2025-07-26 | 160
CUST0008 | ORD00115 | 2026-01-26 | 2026-01-02 | 24
CUST0008 | ORD00224 | 2026-03-23 | 2026-01-26 | 56
CUST0008 | ORD00482 | 2026-05-25 | 2026-03-23 | 63
CUST0009 | ORD00004 | 2026-02-04 | 2025-11-21 | 75
CUST0009 | ORD00316 | 2026-03-26 | 2026-02-04 | 50
CUST0009 | ORD00330 | 2026-05-10 | 2026-03-26 | 45
CUST0009 | ORD00118 | 2026-05-16 | 2026-05-10 | 6
CUST0009 | ORD00188 | 2026-06-29 | 2026-05-16 | 44
CUST0010 | ORD00122 | 2025-12-13 | 2025-10-10 | 64
CUST0011 | ORD00249 | 2025-08-22 | 2025-08-18 | 4
CUST0011 | ORD00310 | 2025-10-21 | 2025-08-22 | 60
CUST0011 | ORD00407 | 2026-02-09 | 2025-10-21 | 111
CUST0011 | ORD00140 | 2026-04-10 | 2026-02-09 | 60
CUST0011 | ORD00449 | 2026-04-13 | 2026-04-10 | 3
CUST0012 | ORD00138 | 2025-12-07 | 2025-11-01 | 36
CUST0012 | ORD00114 | 2026-02-20 | 2025-12-07 | 75
CUST0012 | ORD00319 | 2026-03-21 | 2026-02-20 | 29
CUST0012 | ORD00018 | 2026-06-12 | 2026-03-21 | 83
CUST0013 | ORD00483 | 2025-09-09 | 2025-08-30 | 10

[Total rows: 50]
