QUERY 7 RESULTS
================================================================================

region_code | order_date | daily_revenue | running_total
--------------------------------------------------------------------------------
ASIA | 2025-07-15 | 812.07 | 812.07
ASIA | 2025-07-21 | 2629.74 | 3441.81
ASIA | 2025-07-25 | 2410.91 | 5852.73
ASIA | 2025-07-26 | 2905.13 | 8757.85
ASIA | 2025-08-01 | 1130.05 | 9887.9
ASIA | 2025-08-03 | 2674.73 | 12562.64
ASIA | 2025-08-18 | 838.27 | 13400.91
ASIA | 2025-08-22 | 2210.33 | 15611.24
ASIA | 2025-08-23 | 142.14 | 15753.38
ASIA | 2025-08-26 | 3092.02 | 18845.4
ASIA | 2025-08-30 | 260.25 | 19105.66
ASIA | 2025-09-09 | 5107.94 | 24213.6
ASIA | 2025-09-14 | 2969.2 | 27182.8
ASIA | 2025-09-16 | 2528.81 | 29711.61
ASIA | 2025-09-19 | 547.86 | 30259.46
ASIA | 2025-09-22 | 2599.67 | 32859.13
ASIA | 2025-09-24 | 3429.2 | 36288.33
ASIA | 2025-10-01 | 3977.56 | 40265.89
ASIA | 2025-10-03 | 3853.93 | 44119.82
ASIA | 2025-10-10 | 1534.58 | 45654.41
ASIA | 2025-10-14 | 3127.08 | 48781.49
ASIA | 2025-10-15 | 361.46 | 49142.94
ASIA | 2025-10-17 | 4014.0 | 53156.94
ASIA | 2025-10-20 | 73.77 | 53230.71
ASIA | 2025-10-28 | 3278.77 | 56509.48
ASIA | 2025-11-11 | 4387.14 | 60896.63
ASIA | 2025-11-16 | 2145.89 | 63042.52
ASIA | 2025-11-18 | 1107.76 | 64150.28
ASIA | 2025-11-21 | 951.21 | 65101.49
ASIA | 2025-11-22 | 2776.3 | 67877.79
ASIA | 2025-11-27 | 2590.61 | 70468.4
ASIA | 2025-12-09 | 4609.62 | 75078.02
ASIA | 2025-12-14 | 4389.66 | 79467.69
ASIA | 2025-12-22 | 5083.5 | 84551.18
ASIA | 2025-12-23 | 1437.24 | 85988.42
ASIA | 2025-12-24 | 5039.37 | 91027.79
ASIA | 2026-01-03 | 3015.96 | 94043.76
ASIA | 2026-01-04 | 8152.2 | 102195.96
ASIA | 2026-01-11 | 1840.95 | 104036.91
ASIA | 2026-01-14 | 4265.5 | 108302.41
ASIA | 2026-01-15 | 1573.39 | 109875.8
ASIA | 2026-01-17 | 577.7 | 110453.51
ASIA | 2026-01-18 | 3184.09 | 113637.6
ASIA | 2026-01-22 | 806.02 | 114443.62
ASIA | 2026-01-23 | 937.81 | 115381.43
ASIA | 2026-01-24 | 849.38 | 116230.81
ASIA | 2026-02-02 | 1403.29 | 117634.09
ASIA | 2026-02-03 | 2461.51 | 120095.6
ASIA | 2026-02-09 | 10.36 | 120105.97
ASIA | 2026-02-11 | 1509.87 | 121615.84

[Total rows: 50]
