QUERY 13 RESULTS
================================================================================

customer_id | first_category | last_category | category_shift
--------------------------------------------------------------------------------
CUST0001 | Home | Home | No
CUST0002 | Electronics | Electronics | No
CUST0003 | Home | Electronics | Yes
CUST0004 | Books | Electronics | Yes
CUST0005 | Clothing | Electronics | Yes
CUST0006 | Electronics | Electronics | No
CUST0007 | Books | Books | No
CUST0008 | Clothing | Home | Yes
CUST0009 | Clothing | Home | Yes
CUST0010 | Home | Home | No
CUST0011 | Electronics | Electronics | No
CUST0012 | Electronics | Clothing | Yes
CUST0013 | Electronics | Books | Yes
CUST0014 | Clothing | Electronics | Yes
CUST0015 | Electronics | Clothing | Yes
CUST0016 | Home | Electronics | Yes
CUST0017 | Books | Books | No
CUST0018 | Electronics | Electronics | No
CUST0019 | Books | Electronics | Yes
CUST0020 | Electronics | Home | Yes
CUST0021 | Electronics | Electronics | No
CUST0022 | Electronics | Electronics | No
CUST0023 | Books | Electronics | Yes
CUST0024 | Home | Books | Yes
CUST0025 | Electronics | Electronics | No
CUST0026 | Clothing | Books | Yes
CUST0027 | Clothing | Home | Yes
CUST0028 | Clothing | Electronics | Yes
CUST0029 | Electronics | Home | Yes
CUST0030 | Electronics | Clothing | Yes
CUST0031 | Home | Clothing | Yes
CUST0032 | Clothing | Electronics | Yes
CUST0033 | Clothing | Electronics | Yes
CUST0034 | Clothing | Clothing | No
CUST0035 | Electronics | Home | Yes
CUST0036 | Electronics | Electronics | No
CUST0037 | Clothing | Electronics | Yes
CUST0038 | Electronics | Electronics | No
CUST0039 | Electronics | Clothing | Yes
CUST0040 | Books | Electronics | Yes
CUST0041 | Electronics | Electronics | No
CUST0042 | Home | Electronics | Yes
CUST0043 | Electronics | Electronics | No
CUST0044 | Electronics | Electronics | No
CUST0045 | Home | Home | No
CUST0046 | Electronics | Books | Yes
CUST0048 | Electronics | Home | Yes
CUST0049 | Electronics | Home | Yes
CUST0050 | Electronics | Electronics | No
CUST0051 | Electronics | Clothing | Yes
CUST0052 | Clothing | Books | Yes
CUST0053 | Home | Home | No
CUST0054 | Electronics | Electronics | No
CUST0055 | Electronics | Books | Yes
CUST0056 | Books | Electronics | Yes
CUST0057 | Books | Electronics | Yes
CUST0058 | Electronics | Electronics | No
CUST0059 | Home | Books | Yes
CUST0060 | Clothing | Books | Yes
CUST0061 | Books | Home | Yes
CUST0062 | Electronics | Electronics | No
CUST0063 | Electronics | Electronics | No
CUST0064 | Electronics | Clothing | Yes
CUST0065 | Home | Books | Yes
CUST0066 | Electronics | Clothing | Yes
CUST0067 | Electronics | Electronics | No
CUST0068 | Electronics | Home | Yes
CUST0069 | Electronics | Electronics | No
CUST0070 | Books | Clothing | Yes
CUST0071 | Books | Books | No
CUST0072 | Books | Books | No
CUST0073 | Books | Clothing | Yes
CUST0074 | Books | Electronics | Yes
CUST0075 | Electronics | Electronics | No
CUST0076 | Electronics | Books | Yes
CUST0077 | Home | Electronics | Yes
CUST0078 | Clothing | Clothing | No
CUST0079 | Home | Electronics | Yes
CUST0080 | Electronics | Home | Yes
CUST0081 | Electronics | Clothing | Yes
CUST0082 | Electronics | Electronics | No
CUST0083 | Books | Books | No
CUST0084 | Electronics | Clothing | Yes
CUST0085 | Clothing | Electronics | Yes
CUST0086 | Electronics | Books | Yes
CUST0087 | Electronics | Home | Yes
CUST0088 | Electronics | Home | Yes
CUST0089 | Electronics | Electronics | No
CUST0090 | Home | Books | Yes
CUST0091 | Electronics | Electronics | No
CUST0092 | Books | Electronics | Yes
CUST0093 | Electronics | Electronics | No
CUST0094 | Clothing | Electronics | Yes
CUST0095 | Books | Books | No
CUST0096 | Electronics | Clothing | Yes
CUST0097 | Electronics | Books | Yes
CUST0098 | Home | Clothing | Yes
CUST0099 | Electronics | Books | Yes

[Total rows: 98]
